Hora,Temperatura
00,24.011870247148288
01,23.51813311108465
02,23.057124105011933
03,22.63965290245362
04,22.25095564370718
05,21.9176924933623
06,21.626344476744187
07,21.3683531987351
08,21.15036674816626
09,21.400477354756084
10,22.6949143525907
11,24.272506253126565
12,25.7527190622598
13,27.07737767220903
14,28.145632271600228
15,29.008849138746925
16,29.561143291235403
17,29.731862320930677
18,29.50587300009937
19,28.804562101077746
20,27.614909879078255
21,26.262876760153613
22,25.295987763266268
23,24.58622448979592
